jour,heure,indice
01/11/23,8,8
01/11/23,9,7
01/11/23,10,9
01/11/23,11,9
01/11/23,14,8
01/11/23,15,7
01/11/23,16,6
01/11/23,17,4
02/11/23,8,8
02/11/23,9,7
02/11/23,10,9
02/11/23,11,9
02/11/23,14,8
02/11/23,15,7
02/11/23,16,6
02/11/23,17,4
03/11/23,8,8
03/11/23,9,7
03/11/23,10,9
03/11/23,11,9
03/11/23,14,8
03/11/23,15,7
03/11/23,16,6
03/11/23,17,4
06/11/23,8,8
06/11/23,9,7
06/11/23,10,9
06/11/23,11,9
06/11/23,14,8
06/11/23,15,7
06/11/23,16,6
06/11/23,17,4
07/11/23,8,8
07/11/23,9,7
07/11/23,10,9
07/11/23,11,9
07/11/23,14,8
07/11/23,15,7
07/11/23,16,6
07/11/23,17,4
08/11/23,8,8
08/11/23,9,7
08/11/23,10,9
08/11/23,11,9
08/11/23,14,8
08/11/23,15,7
08/11/23,16,6
08/11/23,17,4
09/11/23,8,8
09/11/23,9,7
09/11/23,10,9
09/11/23,11,9
09/11/23,14,8
09/11/23,15,7
09/11/23,16,6
09/11/23,17,4
10/11/23,8,8
10/11/23,9,7
10/11/23,10,9
10/11/23,11,9
10/11/23,14,8
10/11/23,15,7
10/11/23,16,6
10/11/23,17,4
13/11/23,8,8
13/11/23,9,7
13/11/23,10,9
13/11/23,11,9
13/11/23,14,8
13/11/23,15,7
13/11/23,16,6
13/11/23,17,4
14/11/23,8,8
14/11/23,9,7
14/11/23,10,9
14/11/23,11,9
14/11/23,14,8
14/11/23,15,7
14/11/23,16,6
14/11/23,17,4
15/11/23,8,8
15/11/23,9,7
15/11/23,10,9
15/11/23,11,9
15/11/23,14,8
15/11/23,15,7
15/11/23,16,6
15/11/23,17,4
16/11/23,8,8
16/11/23,9,7
16/11/23,10,9
16/11/23,11,9
16/11/23,14,8
16/11/23,15,7
16/11/23,16,6
16/11/23,17,4
17/11/23,8,8
17/11/23,9,7
17/11/23,10,9
17/11/23,11,9
17/11/23,14,8
17/11/23,15,7
17/11/23,16,6
17/11/23,17,4
20/11/23,8,8
20/11/23,9,7
20/11/23,10,9
20/11/23,11,9
20/11/23,14,8
20/11/23,15,7
20/11/23,16,6
20/11/23,17,4
21/11/23,8,8
21/11/23,9,7
21/11/23,10,9
21/11/23,11,9
21/11/23,14,8
21/11/23,15,7
21/11/23,16,6
21/11/23,17,4
22/11/23,8,8
22/11/23,9,7
22/11/23,10,9
22/11/23,11,9
22/11/23,14,8
22/11/23,15,7
22/11/23,16,6
22/11/23,17,4
23/11/23,8,8
23/11/23,9,7
23/11/23,10,9
23/11/23,11,9
23/11/23,14,8
23/11/23,15,7
23/11/23,16,6
23/11/23,17,4
24/11/23,8,8
24/11/23,9,7
24/11/23,10,9
24/11/23,11,9
24/11/23,14,8
24/11/23,15,7
24/11/23,16,6
24/11/23,17,4
27/11/23,8,8
27/11/23,9,7
27/11/23,10,9
27/11/23,11,9
27/11/23,14,8
27/11/23,15,7
27/11/23,16,6
27/11/23,17,4
28/11/23,8,8
28/11/23,9,7
28/11/23,10,9
28/11/23,11,9
28/11/23,14,8
28/11/23,15,7
28/11/23,16,6
28/11/23,17,4
29/11/23,8,8
29/11/23,9,7
29/11/23,10,9
29/11/23,11,9
29/11/23,14,8
29/11/23,15,7
29/11/23,16,6
29/11/23,17,4
30/11/23,8,8
30/11/23,9,7
30/11/23,10,9
30/11/23,11,9
30/11/23,14,8
30/11/23,15,7
30/11/23,16,6
30/11/23,17,4
01/12/23,8,8
01/12/23,9,7
01/12/23,10,9
01/12/23,11,9
01/12/23,14,8
01/12/23,15,7
01/12/23,16,6
01/12/23,17,4
04/12/23,8,8
04/12/23,9,7
04/12/23,10,9
04/12/23,11,9
04/12/23,14,8
04/12/23,15,7
04/12/23,16,6
04/12/23,17,4
05/12/23,8,8
05/12/23,9,7
05/12/23,10,9
05/12/23,11,9
05/12/23,14,8
05/12/23,15,7
05/12/23,16,6
05/12/23,17,4
06/12/23,8,8
06/12/23,9,7
06/12/23,10,9
06/12/23,11,9
06/12/23,14,8
06/12/23,15,7
06/12/23,16,6
06/12/23,17,4
07/12/23,8,8
07/12/23,9,7
07/12/23,10,9
07/12/23,11,9
07/12/23,14,8
07/12/23,15,7
07/12/23,16,6
07/12/23,17,4
08/12/23,8,8
08/12/23,9,7
08/12/23,10,9
08/12/23,11,9
08/12/23,14,8
08/12/23,15,7
08/12/23,16,6
08/12/23,17,4
11/12/23,8,8
11/12/23,9,7
11/12/23,10,9
11/12/23,11,9
11/12/23,14,8
11/12/23,15,7
11/12/23,16,6
11/12/23,17,4
12/12/23,8,8
12/12/23,9,7
12/12/23,10,9
12/12/23,11,9
12/12/23,14,8
12/12/23,15,7
12/12/23,16,6
12/12/23,17,4
13/12/23,8,8
13/12/23,9,7
13/12/23,10,9
13/12/23,11,9
13/12/23,14,8
13/12/23,15,7
13/12/23,16,6
13/12/23,17,4
